month,year,trips,transport_type,load_timestamp
"Jan","2026","57","Sabkha","2026-02-27 02:23:27"
"Jan","2026","42829","Mall o","2026-02-27 02:23:27"
"Jan","2026","86","Al War","2026-02-27 02:23:27"
"Jan","2026","250","Coral ","2026-02-27 02:23:27"
"Jan","2026","103","Hassa ","2026-02-27 02:23:27"
"Jan","2026","660","Al Ghu","2026-02-27 02:23:27"
"Jan","2026","12","Royal ","2026-02-27 02:23:27"
"Jan","2026","5","Summit","2026-02-27 02:23:27"
"Jan","2026","108","Jumeir","2026-02-27 02:23:27"
"Jan","2026","37302","ADCB M","2026-02-27 02:23:27"
"Jan","2026","105","Danway","2026-02-27 02:23:27"
"Jan","2026","1302","Lillia","2026-02-27 02:23:27"
"Jan","2026","278","Majid ","2026-02-27 02:23:27"
"Jan","2026","723","Mirdif","2026-02-27 02:23:27"
"Jan","2026","222","Gold S","2026-02-27 02:23:27"
"Jan","2026","2552","BurJum","2026-02-27 02:23:27"
"Jan","2026","314","Port S","2026-02-27 02:23:27"
"Jan","2026","1058","Financ","2026-02-27 02:23:27"
"Jan","2026","25961","Al Ghu","2026-02-27 02:23:27"
"Jan","2026","54","Discov","2026-02-27 02:23:27"
"Jan","2026","90","Al Jaf","2026-02-27 02:23:27"
"Jan","2026","99","Beach ","2026-02-27 02:23:27"
"Jan","2026","415","Karama","2026-02-27 02:23:27"
"Jan","2026","383","Ras Al","2026-02-27 02:23:27"
"Jan","2026","82","Manama","2026-02-27 02:23:27"
"Jan","2026","35647","Baniya","2026-02-27 02:23:27"
"Jan","2026","221","Ras Al","2026-02-27 02:23:27"
"Jan","2026","35","Khawan","2026-02-27 02:23:27"
"Jan","2026","4","Joton ","2026-02-27 02:23:27"
"Jan","2026","24437","World ","2026-02-27 02:23:27"
"Jan","2026","553","Centra","2026-02-27 02:23:27"
"Jan","2026","16","Al Hur","2026-02-27 02:23:27"
"Jan","2026","157","Emirat","2026-02-27 02:23:27"
"Jan","2026","40","Discov","2026-02-27 02:23:27"
"Jan","2026","75","Al Gar","2026-02-27 02:23:27"
"Jan","2026","66","Al Khu","2026-02-27 02:23:27"
"Jan","2026","14","Royal ","2026-02-27 02:23:27"
"Jan","2026","330","Al Quo","2026-02-27 02:23:27"
"Jan","2026","98","Hassa ","2026-02-27 02:23:27"
"Jan","2026","43","Corro ","2026-02-27 02:23:27"
"Jan","2026","804","Silico","2026-02-27 02:23:27"
"Jan","2026","275","Amssar","2026-02-27 02:23:27"
"Jan","2026","265","Discov","2026-02-27 02:23:27"
"Jan","2026","32","ENOC, ","2026-02-27 02:23:27"
"Jan","2026","25514","Oud Me","2026-02-27 02:23:27"
"Jan","2026","78","MAN Mo","2026-02-27 02:23:27"
"Jan","2026","22481","Mashre","2026-02-27 02:23:27"
"Jan","2026","483","Thanay","2026-02-27 02:23:27"
"Jan","2026","15335","World ","2026-02-27 02:23:27"
"Jan","2026","23","Sobha ","2026-02-27 02:23:27"
"Jan","2026","36","Clover","2026-02-27 02:23:27"
"Jan","2026","467","Al Haw","2026-02-27 02:23:27"
"Jan","2026","38","Umm Na","2026-02-27 02:23:27"
"Jan","2026","404","Khadri","2026-02-27 02:23:27"
"Jan","2026","358","Gold S","2026-02-27 02:23:27"
"Jan","2026","24885","Al Ghu","2026-02-27 02:23:27"
"Jan","2026","3091","Jabal ","2026-02-27 02:23:27"
"Jan","2026","201","Mirdif","2026-02-27 02:23:27"
"Jan","2026","245","Dubai ","2026-02-27 02:23:27"
"Jan","2026","7169","EXPO M","2026-02-27 02:23:27"
"Jan","2026","597","Dunes ","2026-02-27 02:23:27"
"Jan","2026","3090","Hana C","2026-02-27 02:23:27"
"Jan","2026","193","Silico","2026-02-27 02:23:27"
"Jan","2026","52032","Union ","2026-02-27 02:23:27"
"Jan","2026","583","8 Boul","2026-02-27 02:23:27"
"Jan","2026","116","Algeri","2026-02-27 02:23:27"
