nationality,gender,license_type,age_group,licenses_num,load_timestamp
"مصر","MALE","Registration","20-30","119","2026-02-23 16:21:09"
"بنغلاديش","MALE","Registration","20-30","48","2026-02-23 16:21:09"
"كوريا الجنوبيه","MALE","Registration","20-30","1","2026-02-23 16:21:09"
"الصين","FEMALE","Update Info","30-40","1","2026-02-23 16:21:09"
"ارمينيا","MALE","Registration","60+","1","2026-02-23 16:21:09"
"الولايات المتحدة","FEMALE","Registration","20-30","4","2026-02-23 16:21:09"
"تركيا","MALE","Change Plate Number","30-40","1","2026-02-23 16:21:09"
"سانت كيتس ونيفيس","MALE","Registration","20-30","3","2026-02-23 16:21:09"
"الاردن","FEMALE","Registration","40-60","33","2026-02-23 16:21:09"
"كندا","MALE","Transfer of Ownership","30-40","1","2026-02-23 16:21:09"
"اليونان","FEMALE","Registration","40-60","4","2026-02-23 16:21:09"
"الهند","MALE","Update Info","40-60","17","2026-02-23 16:21:09"
"موريتانيا","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"النمسا","FEMALE","Registration","30-40","5","2026-02-23 16:21:09"
"تركيا","MALE","Change Plate Number","40-60","2","2026-02-23 16:21:09"
"روسيا","MALE","Registration","30-40","77","2026-02-23 16:21:09"
"باكستان","MALE","Transfer of Ownership","40-60","11","2026-02-23 16:21:09"
"كوريا الجنوبيه","MALE","Registration","30-40","7","2026-02-23 16:21:09"
"اسبانيا","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"الهند","MALE","Registration","19-20","3","2026-02-23 16:21:09"
"جرينادا","MALE","Registration","30-40","2","2026-02-23 16:21:09"
"تنزانيا","MALE","Registration","30-40","4","2026-02-23 16:21:09"
"مصر","MALE","Update Info","40-60","1","2026-02-23 16:21:09"
"المانيا","FEMALE","Registration","20-30","3","2026-02-23 16:21:09"
"الفلبين","FEMALE","Registration","30-40","67","2026-02-23 16:21:09"
"النرويج","MALE","Registration","30-40","3","2026-02-23 16:21:09"
"السويد","FEMALE","Change Plate Number","60+","1","2026-02-23 16:21:09"
"سيريلانكا","MALE","Transfer of Ownership","20-30","1","2026-02-23 16:21:09"
"كولومبيا","FEMALE","Registration","20-30","2","2026-02-23 16:21:09"
"بلجيكا","MALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"الهند","FEMALE","Registration","60+","11","2026-02-23 16:21:09"
"الامارات","FEMALE","Registration","60+","35","2026-02-23 16:21:09"
"جنوب افريقيا","MALE","Registration","30-40","22","2026-02-23 16:21:09"
"الولايات المتحدة","MALE","Transfer of Ownership","40-60","2","2026-02-23 16:21:09"
"عمان","MALE","Registration","40-60","17","2026-02-23 16:21:09"
"سانت كيتس ونيفيس","MALE","Update Info","40-60","2","2026-02-23 16:21:09"
"كينيا","MALE","Registration","40-60","8","2026-02-23 16:21:09"
"بلجيكا","MALE","Update Info","40-60","1","2026-02-23 16:21:09"
"تركيا","MALE","Registration","20-30","41","2026-02-23 16:21:09"
"سوريا","FEMALE","Registration","20-30","32","2026-02-23 16:21:09"
"اندونيسيا","MALE","Registration","30-40","2","2026-02-23 16:21:09"
"المغرب","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"ليبيا","FEMALE","Registration","40-60","2","2026-02-23 16:21:09"
"جمهورية الكونغو الديمقراطية","FEMALE","Registration","40-60","1","2026-02-23 16:21:09"
"الكونغو","FEMALE","Registration","30-40","1","2026-02-23 16:21:09"
"المملكه المتحدة","MALE","Update Info","20-30","1","2026-02-23 16:21:09"
"اوكرانيا","FEMALE","Transfer of Ownership","20-30","1","2026-02-23 16:21:09"
"باكستان","FEMALE","Registration","60+","2","2026-02-23 16:21:09"
"سلوفاكيا","MALE","Registration","40-60","6","2026-02-23 16:21:09"
"الولايات المتحدة","FEMALE","Registration","19-20","1","2026-02-23 16:21:09"
"الهند","FEMALE","Transfer of Ownership","20-30","2","2026-02-23 16:21:09"
"السعوديه","FEMALE","Registration","30-40","2","2026-02-23 16:21:09"
"اسرائيل","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"بولندا","MALE","Registration","30-40","13","2026-02-23 16:21:09"
"فرنسا","FEMALE","Registration","60+","3","2026-02-23 16:21:09"
"اليمن","MALE","Registration","60+","13","2026-02-23 16:21:09"
"الامارات","MALE","Update Info","60+","3","2026-02-23 16:21:09"
"العراق","MALE","Registration","60+","8","2026-02-23 16:21:09"
"مالي","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"دومينيكا","MALE","Registration","20-30","8","2026-02-23 16:21:09"
"المغرب","MALE","Transfer of Ownership","30-40","1","2026-02-23 16:21:09"
"فرنسا","MALE","Update Info","20-30","1","2026-02-23 16:21:09"
"بلجيكا","MALE","Registration","60+","2","2026-02-23 16:21:09"
"السويد","FEMALE","Registration","30-40","4","2026-02-23 16:21:09"
"كولومبيا","FEMALE","Transfer of Ownership","30-40","1","2026-02-23 16:21:09"
"رومانيا","FEMALE","Update Info","40-60","1","2026-02-23 16:21:09"
"اذربيجان","MALE","Registration","40-60","10","2026-02-23 16:21:09"
"الامارات","MALE","Transfer of Ownership","20-30","1","2026-02-23 16:21:09"
"رومانيا","MALE","Registration","60+","1","2026-02-23 16:21:09"
"البرتغال","FEMALE","Registration","20-30","3","2026-02-23 16:21:09"
"بنغلاديش","MALE","Registration","60+","4","2026-02-23 16:21:09"
"سيريلانكا","FEMALE","Registration","40-60","12","2026-02-23 16:21:09"
"سيريلانكا","FEMALE","Registration","20-30","2","2026-02-23 16:21:09"
"الولايات المتحدة","MALE","Change Plate Number","30-40","1","2026-02-23 16:21:09"
"ماليزيا","MALE","Registration","60+","2","2026-02-23 16:21:09"
"الكاميرون","MALE","Registration","20-30","6","2026-02-23 16:21:09"
"نيوزيلندا","MALE","Registration","30-40","4","2026-02-23 16:21:09"
"قيرغيزستان","MALE","Transfer of Ownership","30-40","1","2026-02-23 16:21:09"
"الهند","MALE","Change Plate Number","20-30","5","2026-02-23 16:21:09"
"الهند","FEMALE","Update Info","40-60","1","2026-02-23 16:21:09"
"المانيا","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"الاردن","MALE","Transfer of Ownership","40-60","4","2026-02-23 16:21:09"
"اسرائيل","MALE","Registration","40-60","8","2026-02-23 16:21:09"
"لبنان","FEMALE","Registration","16-18","1","2026-02-23 16:21:09"
"تونس","FEMALE","Registration","20-30","10","2026-02-23 16:21:09"
"اوزباكستان","MALE","Change Plate Number","20-30","1","2026-02-23 16:21:09"
"ماليزيا","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"الدانمارك","FEMALE","Registration","30-40","2","2026-02-23 16:21:09"
"ساحل العاج","FEMALE","Registration","40-60","1","2026-02-23 16:21:09"
"روسيا","MALE","Registration","40-60","68","2026-02-23 16:21:09"
"الامارات","FEMALE","Transfer of Ownership","40-60","2","2026-02-23 16:21:09"
"بلغاريا","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"المانيا","MALE","Change Plate Number","20-30","1","2026-02-23 16:21:09"
"الاردن","MALE","Change Plate Number","40-60","4","2026-02-23 16:21:09"
"مصر","MALE","Change Plate Number","40-60","5","2026-02-23 16:21:09"
"لبنان","MALE","Update Info","40-60","1","2026-02-23 16:21:09"
"المانيا","MALE","Registration","60+","9","2026-02-23 16:21:09"
"اليمن","MALE","Registration","40-60","54","2026-02-23 16:21:09"
"المغرب","MALE","Registration","20-30","6","2026-02-23 16:21:09"
"جورجيا","MALE","Registration","40-60","1","2026-02-23 16:21:09"
"سوريا","MALE","Registration","20-30","124","2026-02-23 16:21:09"
"اسبانيا","FEMALE","Registration","30-40","3","2026-02-23 16:21:09"
"بولندا","FEMALE","Registration","20-30","3","2026-02-23 16:21:09"
"لبنان","FEMALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"موريتانيا","MALE","Registration","40-60","1","2026-02-23 16:21:09"
"سوريا","MALE","Registration","40-60","225","2026-02-23 16:21:09"
"نيجيريا","MALE","Registration","60+","1","2026-02-23 16:21:09"
"ليبيا","MALE","Registration","30-40","3","2026-02-23 16:21:09"
"جزر الباهاما","FEMALE","Registration","40-60","1","2026-02-23 16:21:09"
"الهند","FEMALE","Registration","40-60","236","2026-02-23 16:21:09"
"تركمانستان","FEMALE","Registration","40-60","1","2026-02-23 16:21:09"
"الارجنتين","FEMALE","Registration","30-40","2","2026-02-23 16:21:09"
"الاردن","MALE","Registration","19-20","1","2026-02-23 16:21:09"
"استراليا","FEMALE","Transfer of Ownership","60+","1","2026-02-23 16:21:09"
"فرنسا","MALE","Update Info","40-60","1","2026-02-23 16:21:09"
"البرازيل","MALE","Registration","40-60","19","2026-02-23 16:21:09"
